;wkr_nr2013;wkr_nr2017;wkr_name_2017;bula_2017;bula_name_2017;bula_abk_2017;change2017;new2017;ost_2017;wkr_nr2009;wkr_nr2005;wkr_nr2002;wkr_nr1998;change2013;new2013;change2009;new2009;change2005;new2005;change2002;new2002;jahr_2002;wkr_name_2002;bula_2002;ost_2002;wahlberechtigte_2002;waehler_2002;zweitstimmegueltig_2002;spd1_2002;spd2_2002;cdu1_2002;cdu2_2002;csu1_2002;csu2_2002;gru1_2002;gru2_2002;fdp1_2002;fdp2_2002;pds1_2002;pds2_2002;jahr_2005;wkr_name_2005;bula_2005;ost_2005;wahlberechtigte_2005;waehler_2005;zweitstimmegueltig_2005;spd1_2005;spd2_2005;cdu1_2005;cdu2_2005;csu1_2005;csu2_2005;gru1_2005;gru2_2005;fdp1_2005;fdp2_2005;pds1_2005;pds2_2005;jahr_2009;wkr_name_2009;bula_2009;ost_2009;wahlberechtigte_2009;waehler_2009;zweitstimmegueltig_2009;spd1_2009;spd2_2009;cdu1_2009;cdu2_2009;fdp1_2009;fdp2_2009;pds1_2009;pds2_2009;gru1_2009;gru2_2009;csu1_2009;csu2_2009;jahr_2013;wkr_name_2013;cdsu1share_2002;spd1share_2002;fdp1share_2002;gru1share_2002;lin1share_2002;cdsu2share_2002;spd2share_2002;fdp2share_2002;gru2share_2002;lin2share_2002;cdsu1share_2005;spd1share_2005;fdp1share_2005;gru1share_2005;lin1share_2005;cdsu2share_2005;spd2share_2005;fdp2share_2005;gru2share_2005;lin2share_2005;cdsu1share_2009;spd1share_2009;fdp1share_2009;gru1share_2009;lin1share_2009;cdsu2share_2009;spd2share_2009;fdp2share_2009;gru2share_2009;lin2share_2009
86;86;86;Berlin-Lichtenberg;11;Berlin;BE;0;0;1;87;87;87;258;0;0;0;0;0;0;0;0;2002;Berlin-Lichtenberg;11;1;199297;145915;144244;46780;55848;24330;23293;0;0;5857;7708;5388;6068;56981;42282;2005;Berlin-Lichtenberg;11;1;200917;149098;146940;47112;50555;20138;18548;0;0;6373;9345;4002;6909;62824;52217;2009;Berlin-Lichtenberg;11;1;204766;132766;130752;24028;22618;22566;21347;5048;8666;61874;53815;9652;11490;0;0;2013;Berlin-Lichtenberg;0,168672527106847;0,320597608196553;0,0369256073741562;0,0401398074221293;0,39050817256622;0,161483319930118;0,382743377994038;0,0415858547784669;0,0528252749888634;0,289771442278039;0,137049135701647;0,315980093629693;0,0268414063233578;0,0427436987753022;0,421360447490912;0,126228392541173;0,339072288025326;0,0463386497471462;0,0626768970744074;0,350219318837275;0,172586270190896;0,180980070198695;0,0380217826853261;0,0726993356732898;0,46603799165449;0,163263277043563;0,17035988129491;0,0652727354895078;0,0865432414925508;0,405337209827817
87;87;87;Aachen I;5;Nordrhein-Westfalen;NW;0;0;0;88;88;88;53;0;0;0;0;0;0;0;0;2002;Aachen;5;0;165242;133045;131758;62237;47560;49901;44770;0;0;9308;21933;6879;12789;1638;2143;2005;Aachen;5;0;174998;137879;136223;55086;45300;53170;44710;0;0;12462;19566;7476;15655;6655;8165;2009;Aachen;5;0;176885;130211;129017;38523;28937;50703;41146;11554;19464;9520;10911;17241;20765;0;0;2013;Aachen I;0,3787322211934;0,467789093915592;0,0517043105716111;0,0699612912924199;0,0123116238866549;0,33978961429287;0,357473035439137;0,0961253711150363;0,164853996768011;0,0161073321056785;0,390315879109989;0,399524220512188;0,0542214550439153;0,0903835972120483;0,0482669587101734;0,328211829133113;0,328548945089535;0,113541583562399;0,141907034428738;0,0592185902131579;0,392994721625832;0,295850580980102;0,0887329027501517;0,132408168280714;0,0731121026641374;0,318919212196842;0,222231608696654;0,149480458640207;0,159471934014791;0,0837947638832357
88;88;88;Aachen II;5;Nordrhein-Westfalen;NW;0;0;0;89;89;89;54;0;0;0;0;0;0;0;0;2002;Kreis Aachen;5;0;225120;181166;179015;87913;80222;67640;63027;0;0;7009;12393;11040;16863;1430;1621;2005;Kreis Aachen;5;0;227154;176643;173749;79617;71160;68563;59633;0;0;6205;10309;7308;16243;9139;11003;2009;Kreis Aachen;5;0;228546;160816;158520;54205;45981;63511;53062;13275;23518;13502;14926;11056;12491;0;0;2013;Aachen II;0,377845431947044;0,485262135279247;0,0609385867105307;0,0386882748418577;0,0078933133148604;0,35207664162221;0,442809357164148;0,0930803793206231;0,0684068754622832;0,00894759502334875;0,394609465378218;0,450722643976835;0,0413715799663729;0,035127347248405;0,0517371195009143;0,343213486120783;0,40284641904859;0,0919538277769286;0,0583606483132646;0,0622894765147784;0,400649760282614;0,33706223261367;0,0825477564421451;0,0687493781713262;0,0839593075315889;0,334733787534696;0,285923042483335;0,146241667495772;0,0776726196398368;0,0928141478459855
89;89;89;Heinsberg;5;Nordrhein-Westfalen;NW;0;0;0;90;90;90;55;0;0;0;0;0;0;0;0;2002;Heinsberg;5;0;181929;145496;143389;52790;51527;71954;65188;0;0;7972;8195;8772;13656;1599;1274;2005;Heinsberg;5;0;185273;143248;140510;52148;45723;71887;60704;0;0;0;7250;7345;15059;6512;7193;2009;Heinsberg;5;0;187605;131761;129838;31111;27877;65143;53888;12342;21315;9859;10638;8933;9307;0;0;2013;Heinsberg;0,501809762255124;0,362827844064442;0,060290317259581;0,0547918843129708;0,0109899928520372;0,454623436944257;0,354147193049981;0,0938582503986364;0,0563245724968384;0,00875625446747677;0,511614831684578;0,364039986596672;0,0512747123869094;0;0,0454596224729141;0,43202619030674;0,319187702446107;0,105125376968614;0,0506115268625042;0,0502136155478611;0,501725226821116;0,236116908645198;0,0936695987431789;0,0677969960762289;0,0748248723066765;0,415040280965511;0,211572468332815;0,161770174786166;0,0706354687654162;0,0807370921592884
90;90;90;Düren;5;Nordrhein-Westfalen;NW;0;0;0;91;91;91;56;0;0;0;0;0;0;0;0;2002;Düren;5;0;196789;158285;156445;70999;64104;67622;62303;0;0;5510;10499;8702;14095;1359;1404;2005;Düren;5;0;198643;154115;151730;64858;57163;68166;58467;0;0;4476;8672;5628;14298;6504;8317;2009;Düren;5;0;199907;144058;142079;43655;36209;65662;53597;10745;21383;10079;11924;8956;11102;0;0;2013;Düren;0,432241362779252;0,448551663139274;0,0549767823862021;0,0348106264017437;0,00858577881669141;0,39824219374221;0,404990997251793;0,0890482357772373;0,0663297217045203;0,00887007612850239;0,449258551374151;0,420841579340103;0,0365181844726341;0,0290432469259968;0,0422022515653895;0,385335793844329;0,37091133244655;0,0927748759043571;0,0562696687538526;0,0539661940758524;0,462151338339938;0,303037665384776;0,0745880131613656;0,0621694039900596;0,0699648752585764;0,377233792467571;0,251350150633773;0,148433269932944;0,0770661816768246;0,0827722167460328
91;91;91;Rhein-Erft-Kreis I;5;Nordrhein-Westfalen;NW;0;0;0;92;92;92;57;0;0;0;0;0;0;0;0;2002;Erftkreis I;5;0;237310;193667;191267;93400;83752;70969;65464;0;0;7918;15582;14582;20229;1586;1756;2005;Erftkreis I;5;0;240830;191575;189059;90150;77413;74380;63432;0;0;5797;12838;9168;21187;7041;8853;2009;Erftkreis I;5;0;245417;180037;177778;63487;49072;69845;60798;18620;29495;11215;13214;11195;16136;0;0;2013;Rhein-Erft-Kreis I;0,371046756628169;0,482271114851782;0,0752941905435619;0,0408846112140943;0,00818931464833967;0,342265001280932;0,432453644658099;0,104452488033583;0,0804576928439022;0,00906711003939752;0,393422159220138;0,470572882683022;0,0478559310974814;0,0302596894166775;0,0367532298055592;0,335514310347563;0,404087172125799;0,110593762234112;0,0670129192222367;0,0462116664491713;0,392877633902958;0,352633069868971;0,103423185234146;0,0621816626582314;0,0622927509345301;0,341988322514597;0,27256619472664;0,163827435471598;0,0896260213178402;0,0733960241505913
92;92;92;Euskirchen  Rhein-Erft-Kreis II;5;Nordrhein-Westfalen;NW;0;0;0;93;93;93;58;0;0;0;0;0;0;0;0;2002;Euskirchen - Erftkreis II;5;0;239202;192372;189926;76045;70328;84913;77607;0;0;9037;15312;17272;20879;2059;1843;2005;Euskirchen - Erftkreis II;5;0;243187;190431;187447;73415;65444;86515;70202;0;0;6774;12973;10419;24766;7349;8751;2009;Euskirchen - Erftkreis II;5;0;245382;176069;173493;50035;40709;75290;63653;20620;32011;11679;13139;12239;15126;0;0;2013;Euskirchen – Rhein-Erft-Kreis II;0,447084654023146;0,395301811074377;0,0897843761046306;0,0469766909945314;0,0107032208429501;0,408617040320967;0,365583348928118;0,108534506061173;0,0795957831701079;0,00958039631547211;0,461543796379777;0,385520214670931;0,0547127305953337;0,0355719394426328;0,0385914058110287;0,374516530005815;0,343662533936176;0,130052354921205;0,0681244125168696;0,0459536525040566;0,433965635501144;0,284178361892213;0,117113177220294;0,0695125206595142;0,0663319494061987;0,366890883205662;0,231210491341463;0,181809404267645;0,0859095013886601;0,074624153030914
93;93;93;Köln I;5;Nordrhein-Westfalen;NW;0;0;0;94;94;94;59;0;0;0;0;0;0;0;0;2002;Köln I;5;0;181207;137261;136884;68345;58715;44267;39809;0;0;12469;20765;7407;11815;2213;2617;2005;Köln I;5;0;184010;137164;136684;66317;54131;46224;37104;0;0;9992;18127;5516;15085;6717;8340;2009;Köln I;5;0;186798;127011;125833;43837;33774;42094;34195;10902;18981;10614;12092;15557;20019;0;0;2013;Köln I;0,323390608106134;0,497920020981925;0,0539628882202519;0,0908415354689242;0,016122569411559;0,290822886531662;0,427761709444052;0,086076890012458;0,151281135938103;0,0190658672164708;0,338181498931843;0,483486920766382;0,0402146335773235;0,0728471027383278;0,0489705753696305;0,271458254075093;0,394644367326704;0,109977836750168;0,132155667667901;0,0608031261847132;0,334522740457591;0,345143334041933;0,0858350851501051;0,122485454015794;0,0835675650140539;0,271749064235932;0,265913975954839;0,149443748966625;0,157616269456976;0,0952043523789278
94;94;94;Köln II;5;Nordrhein-Westfalen;NW;0;0;0;95;95;95;60;0;0;0;0;0;0;0;0;2002;Köln II;5;0;206490;167745;167319;73338;60748;57095;51363;0;0;20417;31921;12241;17963;2110;2976;2005;Köln II;5;0;215119;173952;173461;75703;57525;59855;50944;0;0;17238;28785;13225;24935;6079;8338;2009;Köln II;5;0;224430;172562;171556;55471;37665;59710;48545;18455;32663;9550;12138;26614;34040;0;0;2013;Köln II;0,341234408525033;0,437199320397031;0,0729738591314197;0,121714507138812;0,0125786163522013;0,306976494002474;0,36214492235238;0,107085159021133;0,190294792691287;0,0177412143431995;0,345063155406691;0,435194766372333;0,0760267200147167;0,0990963024282561;0,0349464220014717;0,293691377312479;0,330694674392936;0,143344140912436;0,165476683222958;0,0479327630610743;0,348049616451771;0,321455476872081;0,106947068300089;0,154228625073886;0,0553424276491928;0,282968826505631;0,218269375644696;0,189282692597443;0,197262433212411;0,0703399357911939
95;95;95;Köln III;5;Nordrhein-Westfalen;NW;0;0;0;96;96;96;61;0;0;0;0;0;0;0;0;2002;Köln III;5;0;187895;140566;140118;70427;62445;42141;38204;0;0;16465;22535;6929;10900;2735;2796;2005;Köln III;5;0;192045;142475;141930;71575;57935;43054;35646;0;0;13196;21883;5569;13712;6809;8809;2009;Köln III;5;0;197023;134252;132956;47625;37019;38093;33367;11187;17225;11390;13540;22550;24797;0;0;2013;Köln III;0,300753650494583;0,501024429805216;0,0492935702801531;0,117133588492239;0,0194570522032355;0,272655904309225;0,444239716574421;0,0775436449781597;0,160316150420443;0,0198910120512784;0,30334672021419;0,502368836638007;0,039087559220916;0,0926197578522548;0,047790840498333;0,251151976326358;0,406632742586419;0,0962414458676961;0,15359185822074;0,06182839094578;0,286508318541472;0,354743318535292;0,0833283675475971;0,167967702529571;0,0848404493042934;0,250962724510364;0,27574263325686;0,128303488961058;0,184704883353693;0,100855108303787
96;96;96;Bonn;5;Nordrhein-Westfalen;NW;0;0;0;97;97;97;63;0;0;0;0;0;0;0;0;2002;Bonn;5;0;212477;176518;174638;69164;56971;63425;63860;0;0;13163;27278;24731;20198;2052;2773;2005;Bonn;5;0;212584;172806;170766;71537;54523;67381;59241;0;0;10505;22776;14841;23429;5125;7589;2009;Bonn;5;0;219218;167574;165919;55251;37387;51674;51654;31606;31483;8381;11624;16856;26573;0;0;2013;Bonn;0,363179834858393;0,391824063268335;0,140104691872784;0,0745702987797278;0,0116248767831043;0,365670701680047;0,322748954780816;0,114424591259815;0,154533815248303;0,015709446062158;0,394580888467259;0,413972894459683;0,0858824346376862;0,0607907132854183;0,0296575350392926;0,346913319981729;0,315515664965337;0,135579783109383;0,131800979132669;0,043916299202574;0,31144112488624;0,329711053027319;0,188609211452851;0,100588396767995;0,050013725279578;0,311320584140454;0,223107403296454;0,187875207371072;0,15857471922852;0,0693663694845262
97;97;97;Rhein-Sieg-Kreis I;5;Nordrhein-Westfalen;NW;0;0;0;98;98;98;64;0;0;0;0;0;0;0;0;2002;Rhein-Sieg-Kreis I;5;0;220944;180320;178565;78877;67319;73008;69014;0;0;9433;16650;13264;19736;1327;1767;2005;Rhein-Sieg-Kreis I;5;0;226476;179685;177963;73513;61692;80894;67060;0;0;7311;14605;7780;21733;5615;7670;2009;Rhein-Sieg-Kreis I;5;0;231404;167034;165178;42568;37986;73959;58516;18727;31488;10523;11650;15389;17359;0;0;2013;Rhein-Sieg-Kreis I;0,408859518942682;0,437427905944987;0,0735581188997338;0,0523125554569654;0,00735913930789707;0,386492313723294;0,373330745341615;0,109449866903283;0,0923358473824312;0,00979924578527063;0,454555160342318;0,409121518212427;0,0432979937112168;0,0406878704399366;0,0312491304226841;0,37681990076589;0,343334168127557;0,120950552355511;0,0812811308679077;0,0426858112808526;0,447753332768286;0,254846318713555;0,112114898763126;0,0921309434007448;0,0629991498736784;0,354260252576009;0,227414777829663;0,188512518409426;0,103924949411497;0,0697462792006418
98;98;98;Rhein-Sieg-Kreis II;5;Nordrhein-Westfalen;NW;0;0;0;99;99;99;65;0;0;0;0;0;0;0;0;2002;Rhein-Sieg-Kreis II;5;0;203878;171712;170545;62546;54879;82059;72961;0;0;9516;16937;13804;21181;1284;1484;2005;Rhein-Sieg-Kreis II;5;0;209093;171115;169754;59838;51802;87736;69678;0;0;7708;13843;8063;24947;4492;5867;2009;Rhein-Sieg-Kreis II;5;0;211859;161746;160031;39489;33235;80363;59487;16012;34858;7430;8800;14046;16898;0;0;2013;Rhein-Sieg-Kreis II;0,481157465771497;0,364249440924338;0,0803904211703317;0,0554183749534104;0,00747763697353709;0,427810841713331;0,319599096161014;0,123351891539322;0,0986360883339545;0,00864237793514722;0,516842018450228;0,34969464979692;0,0471203576542092;0,0450457294801742;0,0262513514303246;0,410464554590761;0,302732080764398;0,145790842415919;0,0808988107413143;0,0342868830903194;0,502171454280733;0,244142049880677;0,0989947201167262;0,0868398600274504;0,0459362209884634;0,371721728915023;0,205476487826592;0,215510739060008;0,10447244444994;0,0544062913456902
